"player_id","team_id","birth_date","country","height","weight","position","seasons_in_nba","jersey_num"
"299","1610612749","1973-01-10 00:00:00","USA","6-7",240,"Forward","12","3"
"304","1610612762","1962-03-26 00:00:00","USA","6-1",175,"Guard","19","12"
"305","1610612738","1953-08-30 00:00:00","USA","7-1",244,"Center","21","0"
"310","1610612758","1971-06-28 00:00:00","USA","6-0",165,"Guard","5","12"
"316","1610612763","1970-06-23 00:00:00","USA","6-11",245,"Center","2","50"
"317","1610612752","1965-08-10 00:00:00","USA","6-5",190,"Guard","13","9"
"321","1610612754","1970-09-19 00:00:00","USA","6-11",250,"Forward","1","43"
"323","1610612762","1968-10-03 00:00:00","USA","6-11",250,"Center","13","43"
"324","1610612750","1969-11-25 00:00:00","USA","6-4",208,"Guard","14","8"
"335","1610612759","1967-01-08 00:00:00","USA","6-8",200,"Guard-Forward","8","35"
"339","1610612756","1969-12-19 00:00:00","USA","6-10",250,"Forward","14","7"
"340","1610612744","1967-07-17 00:00:00","USA","6-3",180,"Guard","4","12"
"342","1610612762","1966-01-19 00:00:00","USA","6-6",210,"Forward","2","5"
"344","1610612738","1967-04-13 00:00:00","USA","5-11",165,"Guard","15",NULL
"345","1610612757","1963-04-08 00:00:00","USA","6-3",205,"Guard","17","30"
"346","1610612737","1971-01-21 00:00:00","USA","6-7",235,"Forward","3","32"
"348","1610612764","1970-12-15 00:00:00","USA","6-5",210,"Guard","9","32"
"349","1610612752","1965-04-01 00:00:00","USA","6-3",195,"Guard","18","31"
"351","1610612741","1967-01-29 00:00:00","USA","6-11",250,"Forward-Center","8","33"
"353","1610612753","1968-06-22 00:00:00","USA","6-1",180,"Guard","15","10"
"356","1610612751","1966-01-20 00:00:00","USA","6-8",228,"Forward","11","34"
"357","1610612766","1967-12-03 00:00:00","USA","6-2",185,"Guard","3","20"
"361","1610612757","1966-12-16 00:00:00","USA","6-10",245,"Forward-Center","18","30"
"363","1610612750","1969-08-17 00:00:00","USA","6-11",245,"Forward-Center","14","44"
"365","1610612754","1966-10-10 00:00:00","USA","6-10",241,"Forward","15","9"
"368","1610612751","1968-10-14 00:00:00","USA","7-2",285,"Center","8","55"
"376","1610612765","1971-09-23 00:00:00","USA","7-0",270,"Center","9","0"
"384","1610612764","1971-07-17 00:00:00","USA","6-7",210,"Guard-Forward","13","40"
"389","1610612741","1968-09-18 00:00:00","Croatia","6-11",235,"Forward","13","7"
"390","1610612748","1970-02-26 00:00:00","Serbia","6-6",200,"Guard","2","5"
"400","1610612753","1968-02-09 00:00:00","USA","6-9",240,"Forward","10","30"
"402","1610612737","1963-05-17 00:00:00","USA","7-0",250,"Center","11","45"
"404","1610612757","1964-04-01 00:00:00","USA","7-0",300,"Center","12","0"
"406","1610612747","1972-03-06 00:00:00","USA","7-1",325,"Center","19","34"
"417","1610612750","1963-09-02 00:00:00","USA","6-7",215,"Forward","13","42"
"418","1610612745","1965-07-31 00:00:00","USA","5-11",165,"Guard","10","2"
"422","1610612759","1965-03-25 00:00:00","USA","5-11",185,"Guard","17","6"
"426","1610612742","1967-06-17 00:00:00","USA","6-10",270,"Center-Forward","10","54"
"431","1610612760","1969-11-26 00:00:00","USA","6-10",280,"Forward","15","40"
"433","1610612751","1960-03-08 00:00:00","USA","6-8",225,"Forward","17","52"
"436","1610612764","1973-02-07 00:00:00","USA","6-9",250,"Forward","20","5"
"438","1610612743","1970-09-12 00:00:00","USA","6-11",250,"Center","2","41"
"440","1610612761","1970-06-15 00:00:00","Croatia","7-0",257,"Center","6","55"
"441","1610612746","1973-04-20 00:00:00","USA","6-7",235,"Forward","11","31"
"445","1610612739","1971-03-28 00:00:00","USA","6-6",200,"Guard-Forward","12","10"
"452","1610612760","1971-11-23 00:00:00","USA","6-11",240,"Forward","13","34"
"456","1610612754","1964-06-27 00:00:00","USA","6-8",241,"Forward","13","45"
"457","1610612756","1966-06-28 00:00:00","USA","6-11",275,"Center","12","28"
"458","1610612762","1972-12-04 00:00:00","USA","6-2",185,"Guard","12","10"
"461","1610612742","1970-06-17 00:00:00","USA","6-8",265,"Forward","12","54"
"467","1610612751","1973-03-23 00:00:00","USA","6-4",210,"Guard","19","5"
"469","1610612742","1972-11-29 00:00:00","USA","6-8",247,"Forward","12","24"
"470","1610612737","1961-10-13 00:00:00","USA","6-4",210,"Guard","13","25"
"474","1610612756","1968-02-10 00:00:00","Italy","6-9",240,"Forward","1","51"
"475","1610612742","1969-09-17 00:00:00","USA","6-10",220,"Forward","5","34"
"672","1610612745","1967-06-05 00:00:00","USA","6-10",229,"Forward","12","50"
"673","1610612737","1972-12-02 00:00:00","USA","6-9",240,"Forward-Center","13","44"
"675","1610612738","1973-01-18 00:00:00","USA","6-8",242,"Forward","1","5"
"676","1610612745","1975-04-03 00:00:00","USA","7-2",330,"Center","3","55"
"679","1610612741","1973-06-12 00:00:00","USA","6-8",256,"Forward","9","35"
"680","1610612753","1970-11-26 00:00:00","United Kingdom","6-10",270,"Forward-Center","6","13"
"681","1610612739","1972-07-17 00:00:00","USA","6-7",230,"Forward","6","13"
"682","1610612739","1973-03-25 00:00:00","USA","6-5",200,"Guard","11","3"
"683","1610612739","1965-10-26 00:00:00","USA","6-1",170,"Guard","1","30"
"686","1610612765","1974-09-07 00:00:00","USA","6-9",245,"Forward-Center","16","34"
"687","1610612743","1970-06-22 00:00:00","Serbia","7-1",260,"Center","1","8"
"689","1610612755","1973-04-17 00:00:00","USA","6-10",235,"Center","17","50"
"690","1610612765","1973-12-30 00:00:00","USA","6-8",250,"Forward","9","52"
"691","1610612765","1972-07-14 00:00:00","USA","6-7",220,"Forward","2","21"
"693","1610612750","1975-07-26 00:00:00","USA","6-10",225,"Forward-Center","17","1"
"696","1610612754","1972-07-12 00:00:00","USA","5-11",182,"Guard","11","6"
"699","1610612760","1971-12-31 00:00:00","USA","6-7",210,"Guard","15","17"
"701","1610612755","1972-06-06 00:00:00","USA","6-1",185,"Guard","2","20"
"705","1610612739","1966-04-19 00:00:00","USA","6-7",210,"Forward","5","31"
"707","1610612755","1973-04-26 00:00:00","USA","6-7",205,"Guard-Forward","4","7"
"708","1610612750","1976-05-19 00:00:00","USA","6-11",240,"Forward","22","21"
"711","1610612765","1974-11-05 00:00:00","USA","6-6",218,"Forward","19","42"
"712","1610612747","1973-08-01 00:00:00","USA","6-9",235,"Center-Forward","5","24"
"714","1610612742","1973-03-06 00:00:00","USA","6-7",225,"Guard-Forward","16","40"
"716","1610612737","1966-11-13 00:00:00","USA","6-2",195,"Guard","6","20"
"717","1610612757","1964-12-19 00:00:00","Lithuania","7-3",292,"Center","8","11"
"718","1610612750","1974-09-22 00:00:00","USA","6-8",250,"Forward","10","20"
"721","1610612758","1973-02-14 00:00:00","USA","5-10",166,"Guard","4","2"
"722","1610612758","1973-12-04 00:00:00","USA","6-7",245,"Forward","13","34"
"723","1610612758","1972-02-26 00:00:00","USA","6-4",180,"Guard","1","20"
"724","1610612759","1973-06-22 00:00:00","USA","6-1",190,"Guard","8","12"
"726","1610612760","1972-08-26 00:00:00","USA","6-7",210,"Forward","1","1"
"727","1610612755","1973-04-24 00:00:00","USA","6-3",205,"Guard","14","20"
"728","1610612761","1973-08-09 00:00:00","USA","6-5",210,"Guard","2","13"
"729","1610612761","1975-04-28 00:00:00","USA","6-6",225,"Forward","2","32"
"730","1610612761","1972-08-21 00:00:00","USA","6-7",240,"Forward","1","23"
"735","1610612763","1973-06-08 00:00:00","USA","7-0",290,"Center","6","50"
"736","1610612764","1969-09-24 00:00:00","USA","6-10",235,"Forward","1","42"
"738","1610612755","1962-07-10 00:00:00","USA","6-10",225,"Forward","8","34"
"753","1610612741","1968-05-22 00:00:00","USA","6-2",190,"Guard","13","0"
"754","1610612742","1970-10-14 00:00:00","USA","6-6",220,"Forward-Guard","14","24"
"762","1610612742","1972-03-22 00:00:00","USA","7-6",275,"Center","13","44"
"763","1610612763","1967-07-31 00:00:00","USA","6-9",250,"Forward-Center","14","34"
"764","1610612759","1965-08-06 00:00:00","USA","7-1",250,"Center","14","50"
"765","1610612755","1966-09-29 00:00:00","USA","6-3",200,"Guard","13","33"
"766","1610612760","1963-12-15 00:00:00","USA","6-5",187,"Guard-Forward","15","25"
"767","1610612764","1963-08-22 00:00:00","USA","6-8",220,"Forward","8","33"
"768","1610612738","1970-06-23 00:00:00","USA","6-11",240,"Forward-Center","4","55"
"769","1610612741","1967-09-09 00:00:00","USA","6-2",185,"Guard","11","11"
"780","1610612744","1969-11-22 00:00:00","USA","6-5",250,"Forward","4","35"
"782","1610612758","1965-06-30 00:00:00","USA","6-5",220,"Guard","14","2"
"787","1610612755","1963-02-20 00:00:00","USA","6-6",252,"Forward","16","34"
"788","1610612737","1962-09-06 00:00:00","USA","7-0",245,"Center-Forward","22","45"
"891","1610612752","1963-12-18 00:00:00","USA","6-9",245,"Forward","19","33"
"893","1610612741","1963-02-17 00:00:00","USA","6-6",216,"Guard","15","23"
"894","1610612749","1959-08-19 00:00:00","USA","6-4",215,"Guard","16","22"
"899","1610612739","1964-02-15 00:00:00","USA","6-0",180,"Guard","12","25"
"901","1610612745","1962-08-05 00:00:00","USA","6-10",248,"Center-Forward","17","52"
"902","1610612748","1968-04-22 00:00:00","USA","6-2",182,"Guard","15","12"
"903","1610612753","1969-07-12 00:00:00","Netherlands","7-0",262,"Forward-Center","3","43"
"905","1610612754","1969-03-25 00:00:00","USA","6-11",252,"Center-Forward","17","34"
"907","1610612746","1970-02-01 00:00:00","USA","6-8",200,"Guard-Forward","8","2"
"912","1610612751","1964-07-22 00:00:00","USA","6-8",241,"Forward","6","7"
"913","1610612766","1969-03-14 00:00:00","USA","6-7",235,"Forward","10","2"
"916","1610612741","1969-01-04 00:00:00","USA","6-10",242,"Forward-Center","12","44"
"919","1610612746","1968-02-27 00:00:00","USA","6-9",240,"Forward-Center","11","35"
"920","1610612747","1963-10-04 00:00:00","USA","6-9",225,"Forward","16","45"
"921","1610612739","1965-10-19 00:00:00","USA","7-0",245,"Center","8","43"
"922","1610612747","1968-07-23 00:00:00","USA","7-0",279,"Center-Forward","16","41"
"923","1610612744","1973-05-18 00:00:00","USA","6-9",245,"Forward","16","8"
"926","1610612759","1962-07-22 00:00:00","USA","6-4",208,"Guard","10","7"
"928","1610612744","1972-02-20 00:00:00","USA","6-6",195,"Forward","1","21"
"932","1610612756","1970-04-06 00:00:00","USA","6-9",315,"Center","10","3"
"937","1610612741","1965-09-25 00:00:00","USA","6-8",228,"Forward-Guard","18","33"
"938","1610612748","1965-05-10 00:00:00","USA","6-11",253,"Center","11","2"
"943","1610612744","1972-07-27 00:00:00","USA","6-4",190,"Guard","1","9-33"
"944","1610612752","1970-05-26 00:00:00","USA","6-9",220,"Forward","2","42"
"947","1610612755","1975-06-07 00:00:00","USA","6-0",165,"Guard","15","3"
"948","1610612743","1974-03-22 00:00:00","USA","6-11",240,"Center-Forward","18","23"
"949","1610612763","1976-12-11 00:00:00","USA","6-9",245,"Forward","13","3"
"950","1610612752","1977-02-20 00:00:00","USA","6-2",205,"Guard","14","8"
"952","1610612738","1976-08-12 00:00:00","USA","6-9",245,"Forward","13","24"
"953","1610612763","1975-11-04 00:00:00","USA","6-11",255,"Forward-Center","14","55"
"956","1610612744","1975-07-14 00:00:00","USA","6-11",265,"Center","17","25"
"958","1610612738","1975-03-21 00:00:00","Ukraine","6-10",285,"Center-Forward","12","20"
"959","1610612756","1974-02-07 00:00:00","Canada","6-3",178,"Guard","19","10"
"960","1610612756","1974-01-28 00:00:00","USA","6-2",189,"Guard","10","0"
"961","1610612761","1974-02-09 00:00:00","USA","6-9",225,"Forward","8","22"
"962","1610612738","1974-02-01 00:00:00","USA","6-10",245,"Forward","10","0"
"963","1610612738","1975-06-02 00:00:00","USA","6-8",220,"Forward","1","13"
"965","1610612747","1974-08-09 00:00:00","USA","6-1",210,"Guard","18","6"
"966","1610612765","1973-05-10 00:00:00","USA","6-9",206,"Forward-Center","10","31"
"968","1610612743","1973-08-31 00:00:00","USA","7-4",325,"Center","2","30"
"969","1610612747","1974-09-13 00:00:00","USA","7-0",235,"Center","8","44"
"977","1610612747","1978-08-23 00:00:00","USA","6-6",212,"Forward-Guard","20","24"
"978","1610612758","1977-06-09 00:00:00","Serbia","6-10",229,"Forward","14","16"
"979","1610612754","1978-10-13 00:00:00","USA","6-11",255,"Center-Forward","18","7"
"980","1610612739","1975-06-05 00:00:00","Lithuania","7-3",260,"Center","14","11"
"981","1610612755","1976-01-11 00:00:00","Greece","6-11",250,"Center","2","14"
"982","1610612742","1974-09-26 00:00:00","Estonia","6-9",235,"Forward","2","13"
"983","1610612745","1973-07-27 00:00:00","USA","6-1",185,"Guard","9","25"
"984","1610612738","1973-11-13 00:00:00","USA","7-0",245,"Center","1","42"
"987","1610612763","1974-01-13 00:00:00","USA","6-7",225,"Forward","3","23"
"988","1610612756","1975-04-02 00:00:00","USA","6-4",209,"Guard","11","14"
"990","1610612759","1974-11-23 00:00:00","USA","6-7",255,"Forward","14","9"
"994","1610612751","1974-07-03 00:00:00","USA","6-8",255,"Forward","6","14"
"997","1610612763","1974-04-02 00:00:00","USA","6-5",200,"Guard","2","5"
"1000","1610612752","1973-12-31 00:00:00","USA","6-6",215,"Guard-Forward","10","49"
"1002","1610612759","1973-08-31 00:00:00","USA","6-2",187,"Guard","1","4"
"1003","1610612737","1973-02-17 00:00:00","USA","6-5",191,"Guard","3","10"
"1006","1610612754","1958-02-16 00:00:00","USA","6-11",260,"Center","18","32"
"1007","1610612762","1971-09-22 00:00:00","USA","7-2",270,"Center","1","44"
"1008","1610612755","1963-09-28 00:00:00","USA","6-2",165,"Guard","9","12"
"1010","1610612746","1970-09-23 00:00:00","USA","5-10",185,"Guard","4","10"
"1022","1610612759","1971-05-01 00:00:00","USA","6-10",255,"Forward","1","0"
"1023","1610612760","1968-08-27 00:00:00","USA","6-5",195,"Guard","7","15"
"1024","1610612756","1973-07-17 00:00:00","USA","6-11",285,"Center","3","54"
"1027","1610612758","1968-03-16 00:00:00","USA","6-7",210,"Forward","4","30"
"1030","1610612747","1969-06-25 00:00:00","USA","6-1",185,"Guard","2","10"
"1032","1610612749","1973-07-23 00:00:00","USA","6-7",240,"Forward-Guard","9","8"
"1034","1610612766","1969-04-28 00:00:00","USA","6-9",225,"Center","3","28"
"1038","1610612745","1973-07-02 00:00:00","USA","6-7",205,"Forward","2","29"
"1043","1610612755","1973-10-28 00:00:00","USA","6-11",235,"Center","5","0"
"1051","1610612750","1966-11-27 00:00:00","USA","6-11",250,"Center","6","22"
"1052","1610612762","1973-11-16 00:00:00","USA","6-10",240,"Center","3","44"
"1054","1610612756","1969-10-28 00:00:00","USA","6-10",238,"Forward","4","0"
"1061","1610612751","1974-03-25 00:00:00","USA","6-11",240,"Center","2","51"
"1063","1610612739","1969-10-03 00:00:00","USA","6-4",195,"Guard","3","30"
"1064","1610612754","1971-06-15 00:00:00","USA","6-10",250,"Forward-Center","1","55"
"1065","1610612742","1973-11-25 00:00:00","USA","6-3",218,"Guard","10","20"
"1067","1610612764","1971-02-19 00:00:00","USA","6-8",232,"Forward","1","42"
"1068","1610612754","1963-11-07 00:00:00","USA","7-1",265,"Center","10","50"
"1073","1610612761","1970-08-27 00:00:00","USA","6-7",255,"Forward","9","35"
"1077","1610612744","1972-12-12 00:00:00","USA","6-9",224,"Forward","1","35"
"1088","1610612765","1974-08-14 00:00:00","USA","5-11",185,"Guard","12","17"
"1090","1610612750","1967-03-10 00:00:00","USA","6-7",210,"Forward","2","30"
"1091","1610612747","1962-08-31 00:00:00","USA","7-0",250,"Center","7","55"
"1097","1610612759","1966-03-27 00:00:00","Serbia","6-9",215,"Forward","1","14"
"1100","1610612756","1967-06-25 00:00:00","USA","6-8",240,"Forward","1","51"
"1101","1610612760","1969-04-04 00:00:00","USA","7-2",260,"Center","4","45"
"1108","1610612744","1970-01-03 00:00:00","USA","6-9",244,"Forward","3","8"
"1109","1610612748","1972-06-03 00:00:00","USA","6-6",180,"Forward","1","32"
"1114","1610612759","1967-10-27 00:00:00","USA","6-6",225,"Guard","12","2"
"1116","1610612765","1967-06-11 00:00:00","USA","6-4",200,"Guard","1","23"
"1117","1610612748","1964-07-31 00:00:00","USA","6-11",235,"Center","3","55"
"1122","1610612737","1960-01-12 00:00:00","USA","6-8",230,"Forward","15","21"
"1123","1610612753","1961-08-05 00:00:00","USA","6-11",250,"Center","12","54"
"1127","1610612738","1970-12-13 00:00:00","USA","7-0",265,"Center","1","51"
"1132","1610612738","1973-04-11 00:00:00","USA","6-9",255,"Forward","1","54"
"1133","1610612766","1971-05-27 00:00:00","USA","6-3",200,"Guard","3","15"
"1136","1610612738","1968-02-01 00:00:00","USA","6-11",230,"Center","1","43"
"1361","1610612755","1968-09-27 00:00:00","Australia","6-10",265,"Center","1","50"
"1381","1610612765","1956-08-28 00:00:00","USA","6-5",200,"Guard","14","25"
"1434","1610612741","1973-05-09 00:00:00","Serbia","6-11",270,"Center-Forward","1","12"
"1442","1610612765","1972-04-09 00:00:00","Serbia","7-0",265,"Center","6","11"
"1444","1610612758","1970-12-15 00:00:00","USA","6-9",230,"Forward","8","51"
"1449","1610612738","1956-12-07 00:00:00","USA","6-9",220,"Forward","13","33"
"1450","1610612738","1957-12-19 00:00:00","USA","6-10",210,"Forward","13","32"
"1453","1610612756","1954-09-09 00:00:00","USA","6-6",193,"Guard","15","6"
"1456","1610612737","1959-10-28 00:00:00","USA","6-6",210,"Guard","9","14"
"1460","1610612747","1961-02-27 00:00:00","USA","6-9",225,"Forward","12","42"
"1477","1610612759","1971-06-14 00:00:00","USA","6-7",200,"Forward","14","12"
"1478","1610612742","1972-01-24 00:00:00","USA","6-2",208,"Guard","1","1"
"1479","1610612762","1963-07-19 00:00:00","USA","6-10",260,"Center-Forward","12","52"
"1489","1610612758","1968-11-14 00:00:00","USA","6-7",210,"Forward","7","22"
"1495","1610612759","1976-04-25 00:00:00","US Virgin Islands","6-11",250,"Center-Forward","20","21"
"1496","1610612751","1975-10-23 00:00:00","USA","6-10",245,"Forward","10","2"
"1497","1610612765","1976-09-25 00:00:00","USA","6-3",210,"Guard","17","1"
"1498","1610612759","1975-03-19 00:00:00","USA","6-4",205,"Guard","14","22"
"1499","1610612738","1976-02-11 00:00:00","USA","6-11",240,"Center","15","4"
"1501","1610612749","1977-02-26 00:00:00","USA","6-10",240,"Forward","14","7"
"1502","1610612744","1975-03-09 00:00:00","St. Vincent & Grenadines","6-10",270,"Center","13","31"
"1504","1610612743","1976-03-27 00:00:00","USA","6-8",260,"Center-Forward","10","21"
"1505","1610612758","1974-11-03 00:00:00","France","6-6",235,"Forward-Guard","7","9"
"1507","1610612757","1974-07-18 00:00:00","USA","6-5",195,"Guard","12","1"
"1509","1610612745","1974-08-26 00:00:00","USA","6-11",275,"Center","11","26"
"1511","1610612743","1974-06-04 00:00:00","USA","6-9",220,"Forward","3","23"
"1512","1610612742","1975-01-01 00:00:00","Australia","7-0",249,"Center","2","22"
"1513","1610612758","1975-02-12 00:00:00","USA","6-11",278,"Center-Forward","12","66"
"1515","1610612761","1975-06-19 00:00:00","USA","6-6",210,"Guard","10","18"
"1516","1610612737","1975-09-27 00:00:00","USA","6-3",210,"Guard","2","22"
"1517","1610612758","1973-03-13 00:00:00","USA","6-1",185,"Guard","13","24"
"1519","1610612761","1975-09-08 00:00:00","USA","6-9",265,"Center","6","41"
